data_generacji,data_waluty,zloto_cena
2025-01-09 19:45:03.717108+00:00,2025-01-07,351.44
2025-01-09 19:45:03.856891+00:00,2025-01-08,347.48
2025-01-09 19:45:03.982403+00:00,2025-01-09,353.46
2025-01-04 22:48:09.612787+00:00,2019-03-14,160.0
2025-01-04 22:48:18.567016+00:00,2019-05-15,160.0
2025-01-04 22:48:53.735727+00:00,2020-01-21,192.0
2025-01-04 22:48:58.905640+00:00,2020-02-27,208.0
2025-01-04 22:43:30.195040+00:00,2015-09-08,136.5
2025-01-04 22:48:42.295503+00:00,2019-10-30,184.5
2025-01-04 22:48:54.158688+00:00,2020-01-24,192.5
2025-01-04 22:50:04.215736+00:00,2021-06-07,224.5
2025-01-04 22:49:07.160921+00:00,2020-04-27,232.5
2025-01-04 22:53:37.710863+00:00,2023-12-12,257.25
2025-01-04 22:43:41.964392+00:00,2015-12-03,136.75
2025-01-04 22:48:24.587032+00:00,2019-06-28,168.75
2025-01-04 22:52:17.663886+00:00,2022-05-19,257.75
2025-01-04 22:41:25.631694+00:00,2013-11-22,124.5
2025-01-04 22:43:04.358395+00:00,2015-03-04,145.0
2025-01-04 22:45:29.235398+00:00,2017-12-28,145.0
2025-01-04 22:44:12.082848+00:00,2016-07-01,169.0
2025-01-04 22:50:20.006624+00:00,2021-09-23,225.0
2025-01-04 22:52:40.942162+00:00,2022-11-07,258.25
2025-01-04 22:41:06.753405+00:00,2013-07-12,137.25
2025-01-04 22:43:10.347607+00:00,2015-04-16,145.25
2025-01-04 22:47:15.508559+00:00,2018-02-23,145.25
2025-01-04 22:48:22.245194+00:00,2019-06-11,161.25
2025-01-04 22:53:13.032860+00:00,2023-06-13,258.5
2025-01-04 22:42:31.140745+00:00,2014-07-09,129.5
2025-01-04 22:47:29.727588+00:00,2018-05-25,153.5
2025-01-04 22:44:25.392011+00:00,2016-10-04,161.5
2025-01-04 22:44:28.524291+00:00,2016-10-25,161.5
2025-01-04 22:48:05.743651+00:00,2019-02-14,161.5
2025-01-04 22:49:50.189209+00:00,2021-03-02,209.5
2025-01-04 22:49:39.259667+00:00,2020-12-16,217.5
2025-01-04 22:53:47.578715+00:00,2024-02-23,259.0
2025-01-04 22:53:50.028726+00:00,2024-03-11,275.0
2025-01-04 22:54:07.663838+00:00,2024-07-17,307.0
2025-01-04 22:53:45.078067+00:00,2024-02-05,259.25
2025-01-04 22:43:29.422484+00:00,2015-09-02,137.75
2025-01-04 22:47:30.095547+00:00,2018-05-28,153.75
2025-01-04 22:48:33.009419+00:00,2019-08-28,193.75
