data_generacji,kryptowaluta_data,kryptowaluta_cena,kryptowaluta_waluta,kryptowaluta_nazwa,kryptowaluta_kod
2025-01-27 09:00:54.050488+00:00,2025-01-27,399481.62,PLN,BITCOIN,btc
2025-01-27 09:01:24.138595+00:00,2025-01-27,12394.71,PLN,ETHER,eth
2025-01-27 09:01:54.214269+00:00,2025-01-27,442.82,PLN,LITECOIN,ltc
2025-01-27 09:02:24.272406+00:00,2025-01-27,1633.84,PLN,BITCOIN CASH,bch
2025-01-27 09:02:54.355160+00:00,2025-01-27,2613.52,PLN,BINANCE COIN,bnb
2025-01-27 09:03:24.416343+00:00,2025-01-27,2.91,PLN,EOS,eos
2025-01-27 09:03:54.478921+00:00,2025-01-27,11.35,PLN,XRP,xrp
2025-01-27 09:04:24.573709+00:00,2025-01-27,1.53,PLN,LUMENS,xlm
2025-01-27 09:04:54.650560+00:00,2025-01-27,90.49,PLN,CHAINLINK,link
2025-01-27 09:05:24.736012+00:00,2025-01-27,22.66,PLN,POLKADOT,dot
2025-01-27 09:05:54.807243+00:00,2025-01-27,27555.74,PLN,YEARN.FINANCE,yfi
2025-01-26 09:02:27.515208+00:00,2025-01-26,1766.57,PLN,BITCOIN CASH,bch
2025-01-25 09:02:27.871091+00:00,2025-01-25,1749.88,PLN,BITCOIN CASH,bch
2025-01-26 09:02:57.600222+00:00,2025-01-26,2763.07,PLN,BINANCE COIN,bnb
2025-01-25 09:02:57.946651+00:00,2025-01-25,2739.52,PLN,BINANCE COIN,bnb
2025-01-26 09:00:57.290628+00:00,2025-01-26,421606.16,PLN,BITCOIN,btc
2025-01-25 09:00:57.689701+00:00,2025-01-25,418792.64,PLN,BITCOIN,btc
2025-01-26 09:05:27.890173+00:00,2025-01-26,25.46,PLN,POLKADOT,dot
2025-01-25 09:05:28.387471+00:00,2025-01-25,25.28,PLN,POLKADOT,dot
2025-01-26 09:03:27.641726+00:00,2025-01-26,3.26,PLN,EOS,eos
2025-01-25 09:03:28.130170+00:00,2025-01-25,3.2,PLN,EOS,eos
2025-01-26 09:01:27.360746+00:00,2025-01-26,13371.59,PLN,ETHER,eth
2025-01-25 09:01:27.737338+00:00,2025-01-25,13214.55,PLN,ETHER,eth
2025-01-26 09:01:57.429511+00:00,2025-01-26,501.15,PLN,LITECOIN,ltc
2025-01-25 09:01:57.817165+00:00,2025-01-25,485.54,PLN,LITECOIN,ltc
2025-01-26 09:04:27.770902+00:00,2025-01-26,1.7,PLN,LUMENS,xlm
2025-01-25 09:04:28.280874+00:00,2025-01-25,1.72,PLN,LUMENS,xlm
2025-01-26 09:03:57.709964+00:00,2025-01-26,12.58,PLN,XRP,xrp
2025-01-25 09:03:58.200927+00:00,2025-01-25,12.45,PLN,XRP,xrp
