data_generacji,mieszkania_cena_rok,mieszkania_cena_wojewodztwo,mieszkania_cena_metr_kwadratowy,mieszkania_cena_waluta
2025-01-21 22:47:22.540334+00:00,2010,MAŁOPOLSKIE,6044.0,PLN
2025-01-21 22:47:22.540334+00:00,2010,ŚLĄSKIE,2871.0,PLN
2025-01-21 22:47:22.540334+00:00,2010,LUBUSKIE,2564.0,PLN
2025-01-21 22:47:22.540334+00:00,2010,WIELKOPOLSKIE,4357.0,PLN
2025-01-21 22:47:22.540334+00:00,2010,ZACHODNIOPOMORSKIE,3886.0,PLN
2025-01-21 22:47:22.540334+00:00,2010,DOLNOŚLĄSKIE,4248.0,PLN
2025-01-21 22:47:22.540334+00:00,2010,OPOLSKIE,3019.0,PLN
2025-01-21 22:47:22.540334+00:00,2010,KUJAWSKO-POMORSKIE,3127.0,PLN
2025-01-21 22:47:22.540334+00:00,2010,POMORSKIE,4951.0,PLN
2025-01-21 22:47:22.540334+00:00,2010,WARMIŃSKO-MAZURSKIE,3398.0,PLN
2025-01-21 22:47:22.540334+00:00,2010,ŁÓDZKIE,3628.0,PLN
2025-01-21 22:47:22.540334+00:00,2010,ŚWIĘTOKRZYSKIE,3094.0,PLN
2025-01-21 22:47:22.540334+00:00,2010,LUBELSKIE,3851.0,PLN
2025-01-21 22:47:22.540334+00:00,2010,PODKARPACKIE,2843.0,PLN
2025-01-21 22:47:22.540334+00:00,2010,PODLASKIE,3851.0,PLN
2025-01-21 22:47:22.540334+00:00,2010,MAZOWIECKIE,6695.0,PLN
2025-01-21 22:47:26.749407+00:00,2011,MAŁOPOLSKIE,5978.0,PLN
2025-01-21 22:47:26.749407+00:00,2011,ŚLĄSKIE,2922.0,PLN
2025-01-21 22:47:26.749407+00:00,2011,LUBUSKIE,2642.0,PLN
2025-01-21 22:47:26.749407+00:00,2011,WIELKOPOLSKIE,4264.0,PLN
2025-01-21 22:47:26.749407+00:00,2011,ZACHODNIOPOMORSKIE,3778.0,PLN
2025-01-21 22:47:26.749407+00:00,2011,DOLNOŚLĄSKIE,4255.0,PLN
2025-01-21 22:47:26.749407+00:00,2011,OPOLSKIE,2963.0,PLN
2025-01-21 22:47:26.749407+00:00,2011,KUJAWSKO-POMORSKIE,3334.0,PLN
2025-01-21 22:47:26.749407+00:00,2011,POMORSKIE,5045.0,PLN
2025-01-21 22:47:26.749407+00:00,2011,WARMIŃSKO-MAZURSKIE,3384.0,PLN
2025-01-21 22:47:26.749407+00:00,2011,ŁÓDZKIE,3578.0,PLN
2025-01-21 22:47:26.749407+00:00,2011,ŚWIĘTOKRZYSKIE,3132.0,PLN
2025-01-21 22:47:26.749407+00:00,2011,LUBELSKIE,3806.0,PLN
2025-01-21 22:47:26.749407+00:00,2011,PODKARPACKIE,3066.0,PLN
2025-01-21 22:47:26.749407+00:00,2011,PODLASKIE,3980.0,PLN
2025-01-21 22:47:26.749407+00:00,2011,MAZOWIECKIE,6858.0,PLN
2025-01-21 22:47:30.933687+00:00,2012,MAŁOPOLSKIE,5699.0,PLN
2025-01-21 22:47:30.933687+00:00,2012,ŚLĄSKIE,2751.0,PLN
2025-01-21 22:47:30.933687+00:00,2012,LUBUSKIE,2579.0,PLN
2025-01-21 22:47:30.933687+00:00,2012,WIELKOPOLSKIE,4138.0,PLN
2025-01-21 22:47:30.933687+00:00,2012,ZACHODNIOPOMORSKIE,3671.0,PLN
2025-01-21 22:47:30.933687+00:00,2012,DOLNOŚLĄSKIE,3987.0,PLN
2025-01-21 22:47:30.933687+00:00,2012,OPOLSKIE,2831.0,PLN
2025-01-21 22:47:30.933687+00:00,2012,KUJAWSKO-POMORSKIE,3272.0,PLN
2025-01-21 22:47:30.933687+00:00,2012,POMORSKIE,5007.0,PLN
2025-01-21 22:47:30.933687+00:00,2012,WARMIŃSKO-MAZURSKIE,3215.0,PLN
2025-01-21 22:47:30.933687+00:00,2012,ŁÓDZKIE,3447.0,PLN
2025-01-21 22:47:30.933687+00:00,2012,ŚWIĘTOKRZYSKIE,3757.0,PLN
2025-01-21 22:47:30.933687+00:00,2012,LUBELSKIE,3948.0,PLN
2025-01-21 22:47:30.933687+00:00,2012,PODKARPACKIE,3371.0,PLN
2025-01-21 22:47:30.933687+00:00,2012,PODLASKIE,3921.0,PLN
2025-01-21 22:47:30.933687+00:00,2012,MAZOWIECKIE,6582.0,PLN
2025-01-21 22:47:35.134287+00:00,2013,MAŁOPOLSKIE,5653.0,PLN
2025-01-21 22:47:35.134287+00:00,2013,ŚLĄSKIE,2716.0,PLN
2025-01-21 22:47:35.134287+00:00,2013,LUBUSKIE,2480.0,PLN
2025-01-21 22:47:35.134287+00:00,2013,WIELKOPOLSKIE,4113.0,PLN
2025-01-21 22:47:35.134287+00:00,2013,ZACHODNIOPOMORSKIE,3690.0,PLN
2025-01-21 22:47:35.134287+00:00,2013,DOLNOŚLĄSKIE,4337.0,PLN
2025-01-21 22:47:35.134287+00:00,2013,OPOLSKIE,2698.0,PLN
2025-01-21 22:47:35.134287+00:00,2013,KUJAWSKO-POMORSKIE,3249.0,PLN
2025-01-21 22:47:35.134287+00:00,2013,POMORSKIE,4824.0,PLN
2025-01-21 22:47:35.134287+00:00,2013,WARMIŃSKO-MAZURSKIE,3127.0,PLN
2025-01-21 22:47:35.134287+00:00,2013,ŁÓDZKIE,3615.0,PLN
2025-01-21 22:47:35.134287+00:00,2013,ŚWIĘTOKRZYSKIE,3796.0,PLN
2025-01-21 22:47:35.134287+00:00,2013,LUBELSKIE,3789.0,PLN
2025-01-21 22:47:35.134287+00:00,2013,PODKARPACKIE,3347.0,PLN
2025-01-21 22:47:35.134287+00:00,2013,PODLASKIE,3899.0,PLN
2025-01-21 22:47:35.134287+00:00,2013,MAZOWIECKIE,6227.0,PLN
2025-01-21 22:47:39.348158+00:00,2014,MAŁOPOLSKIE,5766.0,PLN
2025-01-21 22:47:39.348158+00:00,2014,ŚLĄSKIE,2697.0,PLN
2025-01-21 22:47:39.348158+00:00,2014,LUBUSKIE,2516.0,PLN
2025-01-21 22:47:39.348158+00:00,2014,WIELKOPOLSKIE,4182.0,PLN
2025-01-21 22:47:39.348158+00:00,2014,ZACHODNIOPOMORSKIE,3595.0,PLN
2025-01-21 22:47:39.348158+00:00,2014,DOLNOŚLĄSKIE,4127.0,PLN
2025-01-21 22:47:39.348158+00:00,2014,OPOLSKIE,2817.0,PLN
2025-01-21 22:47:39.348158+00:00,2014,KUJAWSKO-POMORSKIE,3184.0,PLN
2025-01-21 22:47:39.348158+00:00,2014,POMORSKIE,4804.0,PLN
2025-01-21 22:47:39.348158+00:00,2014,WARMIŃSKO-MAZURSKIE,3228.0,PLN
2025-01-21 22:47:39.348158+00:00,2014,ŁÓDZKIE,3434.0,PLN
2025-01-21 22:47:39.348158+00:00,2014,ŚWIĘTOKRZYSKIE,3571.0,PLN
2025-01-21 22:47:39.348158+00:00,2014,LUBELSKIE,3753.0,PLN
2025-01-21 22:47:39.348158+00:00,2014,PODKARPACKIE,3366.0,PLN
2025-01-21 22:47:39.348158+00:00,2014,PODLASKIE,3855.0,PLN
2025-01-21 22:47:39.348158+00:00,2014,MAZOWIECKIE,6463.0,PLN
2025-01-21 22:47:43.542976+00:00,2015,MAŁOPOLSKIE,5893.0,PLN
2025-01-21 22:47:43.542976+00:00,2015,ŚLĄSKIE,2736.0,PLN
