data_generacji,mieszkania_wojewodztwo,mieszkania_region,mieszkania_rok,mieszkania_ilosc
2025-01-19 13:20:20.661046+00:00,MAŁOPOLSKIE,wieś,2002,415447
2025-01-19 13:20:20.661046+00:00,ŚLĄSKIE,wieś,2002,293348
2025-01-19 13:20:20.661046+00:00,LUBUSKIE,wieś,2002,102445
2025-01-19 13:20:20.661046+00:00,WIELKOPOLSKIE,wieś,2002,364135
2025-01-19 13:20:20.661046+00:00,ZACHODNIOPOMORSKIE,wieś,2002,150645
2025-01-19 13:20:20.661046+00:00,DOLNOŚLĄSKIE,wieś,2002,245883
2025-01-19 13:20:20.661046+00:00,OPOLSKIE,wieś,2002,139558
2025-01-19 13:20:20.661046+00:00,KUJAWSKO-POMORSKIE,wieś,2002,209681
2025-01-19 13:20:20.662056+00:00,POMORSKIE,wieś,2002,180367
2025-01-19 13:20:20.662056+00:00,WARMIŃSKO-MAZURSKIE,wieś,2002,159645
2025-01-19 13:20:20.662056+00:00,ŁÓDZKIE,wieś,2002,277932
2025-01-19 13:20:20.662056+00:00,ŚWIĘTOKRZYSKIE,wieś,2002,200612
2025-01-19 13:20:20.662056+00:00,LUBELSKIE,wieś,2002,342762
2025-01-19 13:20:20.662056+00:00,PODKARPACKIE,wieś,2002,318772
2025-01-19 13:20:20.662056+00:00,PODLASKIE,wieś,2002,148210
2025-01-19 13:20:20.662056+00:00,MAZOWIECKIE,wieś,2002,529341
2025-01-19 13:20:22.776521+00:00,MAŁOPOLSKIE,wieś,2003,431603
2025-01-19 13:20:22.776521+00:00,ŚLĄSKIE,wieś,2003,299901
2025-01-19 13:20:22.776521+00:00,LUBUSKIE,wieś,2003,103595
2025-01-19 13:20:22.776521+00:00,WIELKOPOLSKIE,wieś,2003,369280
2025-01-19 13:20:22.776521+00:00,ZACHODNIOPOMORSKIE,wieś,2003,152021
2025-01-19 13:20:22.776521+00:00,DOLNOŚLĄSKIE,wieś,2003,249009
2025-01-19 13:20:22.776521+00:00,OPOLSKIE,wieś,2003,140752
2025-01-19 13:20:22.776521+00:00,KUJAWSKO-POMORSKIE,wieś,2003,212632
2025-01-19 13:20:22.776521+00:00,POMORSKIE,wieś,2003,185756
2025-01-19 13:20:22.776521+00:00,WARMIŃSKO-MAZURSKIE,wieś,2003,161230
2025-01-19 13:20:22.776521+00:00,ŁÓDZKIE,wieś,2003,282165
2025-01-19 13:20:22.776521+00:00,ŚWIĘTOKRZYSKIE,wieś,2003,203211
2025-01-19 13:20:22.776521+00:00,LUBELSKIE,wieś,2003,345087
2025-01-19 13:20:22.776521+00:00,PODKARPACKIE,wieś,2003,323874
2025-01-19 13:20:22.776521+00:00,PODLASKIE,wieś,2003,149242
