data_generacji,wskaznik_rok,wskaznik_wartosc
2025-01-06 12:53:42.525232,2020,103.4
2025-01-06 12:53:40.385614,2019,102.3
2025-01-06 12:53:27.494661,2013,100.9
2025-01-06 12:56:36.586332,2023,111.4
2025-01-06 12:51:48.693255,2010,102.6
2025-01-06 12:53:33.959626,2016,99.4
2025-01-06 12:53:31.800854,2015,99.1
2025-01-06 12:53:29.660861,2014,100.0
2025-01-06 12:53:38.269326,2018,101.6
2025-01-06 12:53:46.832979,2022,114.4
2025-01-06 12:53:36.078734,2017,102.0
2025-01-06 12:53:44.692210,2021,105.1
2025-01-06 12:53:25.323439,2012,103.7
2025-01-06 12:53:23.184832,2011,104.3
