data_generacji,wynagrodzenia_wojewodztwo,wynagrodzenia_rok,wynagrodzenia_wartosc,wynagrodzenia_waluta
2025-01-11 20:27:15.303136,MAŁOPOLSKIE,2002,2060.99,PLN
2025-01-11 20:27:15.303136,ŚLĄSKIE,2002,2298.44,PLN
2025-01-11 20:27:15.303136,LUBUSKIE,2002,1936.54,PLN
2025-01-11 20:27:15.303136,WIELKOPOLSKIE,2002,2047.58,PLN
2025-01-11 20:27:15.303136,ZACHODNIOPOMORSKIE,2002,2068.44,PLN
2025-01-11 20:27:15.303136,DOLNOŚLĄSKIE,2002,2165.84,PLN
2025-01-11 20:27:15.303136,OPOLSKIE,2002,2029.99,PLN
2025-01-11 20:27:15.303136,KUJAWSKO-POMORSKIE,2002,1953.39,PLN
2025-01-11 20:27:15.303136,POMORSKIE,2002,2175.63,PLN
2025-01-11 20:27:15.303136,WARMIŃSKO-MAZURSKIE,2002,1947.99,PLN
2025-01-11 20:27:15.303136,ŁÓDZKIE,2002,1966.22,PLN
2025-01-11 20:27:15.303136,ŚWIĘTOKRZYSKIE,2002,1977.75,PLN
2025-01-11 20:27:15.303136,LUBELSKIE,2002,1941.01,PLN
2025-01-11 20:27:15.303136,PODKARPACKIE,2002,1875.41,PLN
2025-01-11 20:27:15.303136,PODLASKIE,2002,1958.0,PLN
2025-01-11 20:27:15.303136,MAZOWIECKIE,2002,2893.83,PLN
2025-01-11 20:27:20.398324,MAŁOPOLSKIE,2003,2109.69,PLN
2025-01-11 20:27:20.398324,ŚLĄSKIE,2003,2380.23,PLN
2025-01-11 20:27:20.398324,LUBUSKIE,2003,1990.13,PLN
2025-01-11 20:27:20.398324,WIELKOPOLSKIE,2003,2129.03,PLN
2025-01-11 20:27:20.398324,ZACHODNIOPOMORSKIE,2003,2134.74,PLN
2025-01-11 20:27:20.398324,DOLNOŚLĄSKIE,2003,2233.58,PLN
2025-01-11 20:27:20.398324,OPOLSKIE,2003,2087.3,PLN
